,Unnamed: 0,Datetime,Tweet Id,Text,Username,tokens,Party,tweet_web_r,sentiment_score,retweet,sentiment
0,0,2022-03-30 12:50:04+00:00,1.51e+18,The MSME Sector is crucial for India’s economic progress. Our Government is taking many steps to add new energy into the sector and support local enterprise. Today’s Cabinet decision is a step in this direction.,narendramodi,"['The', 'MSME', 'Sector', 'is', 'crucial', 'for', 'India’s', 'economic', 'progress.', 'Our', 'Government', 'is', 'taking', 'many', 'steps', 'to', 'add', 'new', 'energy', 'into', 'the', 'sector', 'and', 'support', 'local', 'enterprise.', 'Today’s', 'Cabinet', 'decision', 'is', 'a', 'step', 'in', 'this', 'direction.']",BJP,The MSME Sector is crucial for India’s economic progress. Our Government is taking many steps to add new energy into the sector and support local enterprise. Today’s Cabinet decision is a step in this direction.,0.765,False,1
1,1,2022-03-30 06:37:12+00:00,1.51e+18,Was happy to participate in the 5th BIMSTEC Summit hosted by Sri Lanka. We took several important decisions to further the BIMSTEC cooperation agenda. I commend the able leadership of @PresRajapaksa and extend my best wishes to the incoming chair @prayutofficial.,narendramodi,"['Was', 'happy', 'to', 'participate', 'in', 'the', '5th', 'BIMSTEC', 'Summit', 'hosted', 'by', 'Sri', 'Lanka.', 'We', 'took', 'several', 'important', 'decisions', 'to', 'further', 'the', 'BIMSTEC', 'cooperation', 'agenda.', 'I', 'commend', 'the', 'able', 'leadership', 'of', '@PresRajapaksa', 'and', 'extend', 'my', 'best', 'wishes', 'to', 'the', 'incoming', 'chair', '@prayutofficial.']",BJP,Was happy to participate in the 5th BIMSTEC Summit hosted by Sri Lanka. We took several important decisions to further the BIMSTEC cooperation agenda. I commend the able leadership of @PresRajapaksa and extend my best wishes to the incoming chair @prayutofficial.,0.9313,False,1
2,2,2022-03-30 04:40:11+00:00,1.51e+18,Speaking at the BIMSTEC Summit.,narendramodi,"['Speaking', 'at', 'the', 'BIMSTEC', 'Summit.']",BJP,Speaking at the BIMSTEC Summit.,0.0,False,1
3,3,2022-03-30 03:06:59+00:00,1.51e+18,Congratulations to the entire @KonkanRailway Team for the remarkable success of ‘Mission 100% Electrification’ and setting new benchmarks of sustainable development.,narendramodi,"['Congratulations', 'to', 'the', 'entire', '@KonkanRailway', 'Team', 'for', 'the', 'remarkable', 'success', 'of', '‘Mission', '100%', 'Electrification’', 'and', 'setting', 'new', 'benchmarks', 'of', 'sustainable', 'development.']",BJP,Congratulations to the entire @KonkanRailway Team for the remarkable success of ‘Mission 100% Electrification’ and setting new benchmarks of sustainable development.,0.9042,False,1
4,4,2022-03-30 03:04:24+00:00,1.51e+18,"The enthusiasm towards this year’s Pariksha Pe Charcha has been phenomenal. Lakhs of people have shared their valuable insights and experiences. I thank all those students, parents and teachers who have contributed.

Looking forward to the programme on 1st April.",narendramodi,"['The', 'enthusiasm', 'towards', 'this', 'year’s', 'Pariksha', 'Pe', 'Charcha', 'has', 'been', 'phenomenal.', 'Lakhs', 'of', 'people', 'have', 'shared', 'their', 'valuable', 'insights', 'and', 'experiences.', 'I', 'thank', 'all', 'those', 'students,', 'parents', 'and', 'teachers', 'who', 'have', 'contributed.\n\nLooking', 'forward', 'to', 'the', 'programme', 'on', '1st', 'April.']",BJP,"The enthusiasm towards this year’s Pariksha Pe Charcha has been phenomenal. Lakhs of people have shared their valuable insights and experiences. I thank all those students, parents and teachers who have contributed.

Looking forward to the programme on 1st April.",0.872,False,1
5,5,2022-03-30 03:03:24+00:00,1.51e+18,Remembering the courageous Shyamji Krishna Varma on his Punya Tithi. Every Indian is proud of his monumental contribution to our freedom struggle. To be able to bring back his ashes from Geneva in 2003 will remain among the most special moments of my life.,narendramodi,"['Remembering', 'the', 'courageous', 'Shyamji', 'Krishna', 'Varma', 'on', 'his', 'Punya', 'Tithi.', 'Every', 'Indian', 'is', 'proud', 'of', 'his', 'monumental', 'contribution', 'to', 'our', 'freedom', 'struggle.', 'To', 'be', 'able', 'to', 'bring', 'back', 'his', 'ashes', 'from', 'Geneva', 'in', '2003', 'will', 'remain', 'among', 'the', 'most', 'special', 'moments', 'of', 'my', 'life.']",BJP,Remembering the courageous Shyamji Krishna Varma on his Punya Tithi. Every Indian is proud of his monumental contribution to our freedom struggle. To be able to bring back his ashes from Geneva in 2003 will remain among the most special moments of my life.,0.908,False,1
6,6,2022-03-30 03:00:25+00:00,1.51e+18,"Best wishes of Rajasthan Day to all the residents of Rajasthan, the historical land of bravery, self-respect and sacrifice. The state should move forward on the path of progress, this is the wish.",narendramodi,"['Best', 'wishes', 'of', 'Rajasthan', 'Day', 'to', 'all', 'the', 'residents', 'of', 'Rajasthan,', 'the', 'historical', 'land', 'of', 'bravery,', 'self-respect', 'and', 'sacrifice.', 'The', 'state', 'should', 'move', 'forward', 'on', 'the', 'path', 'of', 'progress,', 'this', 'is', 'the', 'wish.']",BJP,"Best wishes of Rajasthan Day to all the residents of Rajasthan, the historical land of bravery, self-respect and sacrifice. The state should move forward on the path of progress, this is the wish.",0.926,False,1
7,7,2022-03-29 15:38:23+00:00,1.51e+18,Delighted to address Matua Dharma Maha Mela 2022 on the Jayanti of Sri Sri Harichand Thakur Ji.,narendramodi,"['Delighted', 'to', 'address', 'Matua', 'Dharma', 'Maha', 'Mela', '2022', 'on', 'the', 'Jayanti', 'of', 'Sri', 'Sri', 'Harichand', 'Thakur', 'Ji.']",BJP,Delighted to address Matua Dharma Maha Mela 2022 on the Jayanti of Sri Sri Harichand Thakur Ji.,0.5106,False,1
8,8,2022-03-29 10:37:35+00:00,1.51e+18,"This is my request to all State Governments, Local Bodies and Panchayats…",narendramodi,"['This', 'is', 'my', 'request', 'to', 'all', 'State', 'Governments,', 'Local', 'Bodies', 'and', 'Panchayats…']",BJP,"This is my request to all State Governments, Local Bodies and Panchayats…",0.0,False,1
9,9,2022-03-29 10:37:14+00:00,1.51e+18,"For a long time the rural economy was seen as confined to agriculture only, but we are continuously expanding the role of villages.",narendramodi,"['For', 'a', 'long', 'time', 'the', 'rural', 'economy', 'was', 'seen', 'as', 'confined', 'to', 'agriculture', 'only,', 'but', 'we', 'are', 'continuously', 'expanding', 'the', 'role', 'of', 'villages.']",BJP,"For a long time the rural economy was seen as confined to agriculture only, but we are continuously expanding the role of villages.",0.0,False,1
10,10,2022-03-29 10:37:00+00:00,1.51e+18,"Why some people are not happy with the scheme of free ration for the poor, today I want to tell the reason for this to the country…",narendramodi,"['Why', 'some', 'people', 'are', 'not', 'happy', 'with', 'the', 'scheme', 'of', 'free', 'ration', 'for', 'the', 'poor,', 'today', 'I', 'want', 'to', 'tell', 'the', 'reason', 'for', 'this', 'to', 'the', 'country…']",BJP,"Why some people are not happy with the scheme of free ration for the poor, today I want to tell the reason for this to the country…",-0.3607,False,0
11,11,2022-03-29 10:36:47+00:00,1.51e+18,We have taken full care that the houses provided to the poor should also meet the rest of their life needs.,narendramodi,"['We', 'have', 'taken', 'full', 'care', 'that', 'the', 'houses', 'provided', 'to', 'the', 'poor', 'should', 'also', 'meet', 'the', 'rest', 'of', 'their', 'life', 'needs.']",BJP,We have taken full care that the houses provided to the poor should also meet the rest of their life needs.,0.0258,False,1
12,12,2022-03-29 10:36:31+00:00,1.51e+18,I heartily congratulate the people of Madhya Pradesh who got 1.25 lakh new houses under Pradhan Mantri Awas Yojana-Gramin. This is not just a figure but…,narendramodi,"['I', 'heartily', 'congratulate', 'the', 'people', 'of', 'Madhya', 'Pradesh', 'who', 'got', '1.25', 'lakh', 'new', 'houses', 'under', 'Pradhan', 'Mantri', 'Awas', 'Yojana-Gramin.', 'This', 'is', 'not', 'just', 'a', 'figure', 'but…']",BJP,I heartily congratulate the people of Madhya Pradesh who got 1.25 lakh new houses under Pradhan Mantri Awas Yojana-Gramin. This is not just a figure but…,0.4939,False,1
13,13,2022-03-29 07:09:43+00:00,1.51e+18,PM Awas Yojana is positively impacting many lives. Interacting with the beneficiaries in Madhya Pradesh.,narendramodi,"['PM', 'Awas', 'Yojana', 'is', 'positively', 'impacting', 'many', 'lives.', 'Interacting', 'with', 'the', 'beneficiaries', 'in', 'Madhya', 'Pradesh.']",BJP,PM Awas Yojana is positively impacting many lives. Interacting with the beneficiaries in Madhya Pradesh.,0.7351,False,1
14,14,2022-03-28 16:24:44+00:00,1.51e+18,Glimpses from today’s ceremony in which Padma Awards were conferred on distinguished people from different walks of life.,narendramodi,"['Glimpses', 'from', 'today’s', 'ceremony', 'in', 'which', 'Padma', 'Awards', 'were', 'conferred', 'on', 'distinguished', 'people', 'from', 'different', 'walks', 'of', 'life.']",BJP,Glimpses from today’s ceremony in which Padma Awards were conferred on distinguished people from different walks of life.,0.4588,False,1
15,15,2022-03-28 14:22:34+00:00,1.51e+18,"Visiting Orakandi Thakurbari in March 2021 is a special moment in Bangladesh. I shared my speech on that occasion here.

https://t.co/XpZL6wzWyl",narendramodi,"['Visiting', 'Orakandi', 'Thakurbari', 'in', 'March', '2021', 'is', 'a', 'special', 'moment', 'in', 'Bangladesh.', 'I', 'shared', 'my', 'speech', 'on', 'that', 'occasion', 'here.\n\nhttps://t.co/XpZL6wzWyl']",BJP,"Visiting Orakandi Thakurbari in March 2021 is a special moment in Bangladesh. I shared my speech on that occasion here.

",0.6249,False,1
16,16,2022-03-28 14:17:42+00:00,1.51e+18,I had the good fortune to go to Thakurnagar in February 2019. This tour I will never forget. It is very important for me to get the blessings of Barma Veenapani Thakur.,narendramodi,"['I', 'had', 'the', 'good', 'fortune', 'to', 'go', 'to', 'Thakurnagar', 'in', 'February', '2019.', 'This', 'tour', 'I', 'will', 'never', 'forget.', 'It', 'is', 'very', 'important', 'for', 'me', 'to', 'get', 'the', 'blessings', 'of', 'Barma', 'Veenapani', 'Thakur.']",BJP,I had the good fortune to go to Thakurnagar in February 2019. This tour I will never forget. It is very important for me to get the blessings of Barma Veenapani Thakur.,0.8465,False,1
17,17,2022-03-28 14:16:01+00:00,1.51e+18,"I feel blessed to have the opportunity to address the Matua Dharma Mahamela tomorrow 29th March at 4-30 pm. The great Sri Sri Harichand Thakurji dedicated his life to social justice and public welfare. We will also celebrate his birthday.

https://t.co/1DJaRpqdUB",narendramodi,"['I', 'feel', 'blessed', 'to', 'have', 'the', 'opportunity', 'to', 'address', 'the', 'Matua', 'Dharma', 'Mahamela', 'tomorrow', '29th', 'March', 'at', '4-30', 'pm.', 'The', 'great', 'Sri', 'Sri', 'Harichand', 'Thakurji', 'dedicated', 'his', 'life', 'to', 'social', 'justice', 'and', 'public', 'welfare.', 'We', 'will', 'also', 'celebrate', 'his', 'birthday.\n\nhttps://t.co/1DJaRpqdUB']",BJP,"I feel blessed to have the opportunity to address the Matua Dharma Mahamela tomorrow 29th March at 4-30 pm. The great Sri Sri Harichand Thakurji dedicated his life to social justice and public welfare. We will also celebrate his birthday.

",0.9678,False,1
18,18,2022-03-28 13:12:36+00:00,1.51e+18,It was special to be at the Orakandi Thakurbari in Bangladesh in March 2021. Here is my speech during that programme.,narendramodi,"['It', 'was', 'special', 'to', 'be', 'at', 'the', 'Orakandi', 'Thakurbari', 'in', 'Bangladesh', 'in', 'March', '2021.', 'Here', 'is', 'my', 'speech', 'during', 'that', 'programme.']",BJP,It was special to be at the Orakandi Thakurbari in Bangladesh in March 2021. Here is my speech during that programme.,0.4019,False,1
19,19,2022-03-28 13:10:38+00:00,1.51e+18,"In February 2019, I had the opportunity to visit Thakurnagar. This is a visit that I will never forget. It was very special to get the blessings of Boro Ma Binapani Thakur.",narendramodi,"['In', 'February', '2019,', 'I', 'had', 'the', 'opportunity', 'to', 'visit', 'Thakurnagar.', 'This', 'is', 'a', 'visit', 'that', 'I', 'will', 'never', 'forget.', 'It', 'was', 'very', 'special', 'to', 'get', 'the', 'blessings', 'of', 'Boro', 'Ma', 'Binapani', 'Thakur.']",BJP,"In February 2019, I had the opportunity to visit Thakurnagar. This is a visit that I will never forget. It was very special to get the blessings of Boro Ma Binapani Thakur.",0.8738,False,1
20,20,2022-03-28 13:07:26+00:00,1.51e+18,"I am honoured to be addressing the Matua Dharma Maha Mela 2022 at 4:30 PM tomorrow, 29th March. We shall also mark the Jayanti of the great Sri Sri Harichand Thakur Ji, who devoted his entire life for social justice and public welfare.",narendramodi,"['I', 'am', 'honoured', 'to', 'be', 'addressing', 'the', 'Matua', 'Dharma', 'Maha', 'Mela', '2022', 'at', '4:30', 'PM', 'tomorrow,', '29th', 'March.', 'We', 'shall', 'also', 'mark', 'the', 'Jayanti', 'of', 'the', 'great', 'Sri', 'Sri', 'Harichand', 'Thakur', 'Ji,', 'who', 'devoted', 'his', 'entire', 'life', 'for', 'social', 'justice', 'and', 'public', 'welfare.']",BJP,"I am honoured to be addressing the Matua Dharma Maha Mela 2022 at 4:30 PM tomorrow, 29th March. We shall also mark the Jayanti of the great Sri Sri Harichand Thakur Ji, who devoted his entire life for social justice and public welfare.",0.9246,False,1
21,21,2022-03-28 13:05:15+00:00,1.51e+18,"A new dawn is about to come in the lives of my rural brothers and sisters of Madhya Pradesh. Under Pradhan Mantri Awas Yojana-Gramin, there will be 'Griha Pravesam' for about 5.21 lakh families tomorrow. I will get an opportunity to attend it through video conferencing at 12.30 pm.

https://t.co/UgjPFaJBW9",narendramodi,"['A', 'new', 'dawn', 'is', 'about', 'to', 'come', 'in', 'the', 'lives', 'of', 'my', 'rural', 'brothers', 'and', 'sisters', 'of', 'Madhya', 'Pradesh.', 'Under', 'Pradhan', 'Mantri', 'Awas', 'Yojana-Gramin,', 'there', 'will', 'be', ""'Griha"", ""Pravesam'"", 'for', 'about', '5.21', 'lakh', 'families', 'tomorrow.', 'I', 'will', 'get', 'an', 'opportunity', 'to', 'attend', 'it', 'through', 'video', 'conferencing', 'at', '12.30', 'pm.\n\nhttps://t.co/UgjPFaJBW9']",BJP,"A new dawn is about to come in the lives of my rural brothers and sisters of Madhya Pradesh. Under Pradhan Mantri Awas Yojana-Gramin, there will be 'Griha Pravesam' for about 5.21 lakh families tomorrow. I will get an opportunity to attend it through video conferencing at 12.30 pm.

",0.4215,False,1
22,22,2022-03-28 07:00:20+00:00,1.51e+18,Congratulations to @DrPramodPSawant Ji and all others who took oath in Goa today. I am confident this entire team will deliver good governance to the people of Goa and build on the pro-people work done in the last decade.,narendramodi,"['Congratulations', 'to', '@DrPramodPSawant', 'Ji', 'and', 'all', 'others', 'who', 'took', 'oath', 'in', 'Goa', 'today.', 'I', 'am', 'confident', 'this', 'entire', 'team', 'will', 'deliver', 'good', 'governance', 'to', 'the', 'people', 'of', 'Goa', 'and', 'build', 'on', 'the', 'pro-people', 'work', 'done', 'in', 'the', 'last', 'decade.']",BJP,Congratulations to @DrPramodPSawant Ji and all others who took oath in Goa today. I am confident this entire team will deliver good governance to the people of Goa and build on the pro-people work done in the last decade.,0.875,False,1
23,23,2022-03-27 15:25:39+00:00,1.51e+18,"Come, let’s celebrate the festival of examinations. Let’s talk stress free examinations. 

See you on 1st April at Pariksha Pe Charcha.",narendramodi,"['Come,', 'let’s', 'celebrate', 'the', 'festival', 'of', 'examinations.', 'Let’s', 'talk', 'stress', 'free', 'examinations.', '\n\nSee', 'you', 'on', '1st', 'April', 'at', 'Pariksha', 'Pe', 'Charcha.']",BJP,"Come, let’s celebrate the festival of examinations. Let’s talk stress free examinations. 

See you on 1st April at Pariksha Pe Charcha.",0.8126,False,1
24,24,2022-03-27 15:24:56+00:00,1.51e+18,"Through his work, Mupattam Sri Narayanan ji has illustrated what compassion towards birds truly means. #MannKiBaat",narendramodi,"['Through', 'his', 'work,', 'Mupattam', 'Sri', 'Narayanan', 'ji', 'has', 'illustrated', 'what', 'compassion', 'towards', 'birds', 'truly', 'means.', '#MannKiBaat']",BJP,"Through his work, Mupattam Sri Narayanan ji has illustrated what compassion towards birds truly means. #MannKiBaat",0.7096,False,1
25,25,2022-03-27 15:06:40+00:00,1.51e+18,"A Mela on India’s western coast is a great instance of India’s culture vibrancy, diversity and spirit of unity. #MannKiBaat",narendramodi,"['A', 'Mela', 'on', 'India’s', 'western', 'coast', 'is', 'a', 'great', 'instance', 'of', 'India’s', 'culture', 'vibrancy,', 'diversity', 'and', 'spirit', 'of', 'unity.', '#MannKiBaat']",BJP,"A Mela on India’s western coast is a great instance of India’s culture vibrancy, diversity and spirit of unity. #MannKiBaat",0.7003,False,1
26,26,2022-03-27 15:06:10+00:00,1.51e+18,"Just as our children made cleanliness a movement, they can help save water by becoming a 'Water Warrior'. #MannKiBaat",narendramodi,"['Just', 'as', 'our', 'children', 'made', 'cleanliness', 'a', 'movement,', 'they', 'can', 'help', 'save', 'water', 'by', 'becoming', 'a', ""'Water"", ""Warrior'."", '#MannKiBaat']",BJP,"Just as our children made cleanliness a movement, they can help save water by becoming a 'Water Warrior'. #MannKiBaat",0.7096,False,1
27,27,2022-03-27 15:05:43+00:00,1.51e+18,"Rahul Maharana ji of Puri and Chandrakishore ji of Nashik are two such Swachhagrahis, who have set an example in front of the countrymen regarding cleanliness. #MannKiBaat",narendramodi,"['Rahul', 'Maharana', 'ji', 'of', 'Puri', 'and', 'Chandrakishore', 'ji', 'of', 'Nashik', 'are', 'two', 'such', 'Swachhagrahis,', 'who', 'have', 'set', 'an', 'example', 'in', 'front', 'of', 'the', 'countrymen', 'regarding', 'cleanliness.', '#MannKiBaat']",BJP,"Rahul Maharana ji of Puri and Chandrakishore ji of Nashik are two such Swachhagrahis, who have set an example in front of the countrymen regarding cleanliness. #MannKiBaat",0.0,False,1
28,28,2022-03-27 14:11:22+00:00,1.51e+18,Congratulations to @Pvsindhu1 on winning the Swiss Open 2022. Her accomplishments inspire the youth of India. Best wishes to her for her future endeavours.,narendramodi,"['Congratulations', 'to', '@Pvsindhu1', 'on', 'winning', 'the', 'Swiss', 'Open', '2022.', 'Her', 'accomplishments', 'inspire', 'the', 'youth', 'of', 'India.', 'Best', 'wishes', 'to', 'her', 'for', 'her', 'future', 'endeavours.']",BJP,Congratulations to @Pvsindhu1 on winning the Swiss Open 2022. Her accomplishments inspire the youth of India. Best wishes to her for her future endeavours.,0.9501,False,1
29,29,2022-03-27 10:17:00+00:00,1.51e+18,"During #MannKiBaat, paid tributes to Mahatma Phule, Savitribai Phule, Dr. Babasaheb Ambedkar and recalled their contributions to our society.",narendramodi,"['During', '#MannKiBaat,', 'paid', 'tributes', 'to', 'Mahatma', 'Phule,', 'Savitribai', 'Phule,', 'Dr.', 'Babasaheb', 'Ambedkar', 'and', 'recalled', 'their', 'contributions', 'to', 'our', 'society.']",BJP,"During #MannKiBaat, paid tributes to Mahatma Phule, Savitribai Phule, Dr. Babasaheb Ambedkar and recalled their contributions to our society.",0.0,False,1
30,30,2022-03-27 10:16:08+00:00,1.51e+18,"I call upon more start-ups to focus on Ayush related themes. To those who are already in this field, I assure continuous support. I also request them to put content in all UN recognised languages to ensure maximum reach. #MannKiBaat @moayush",narendramodi,"['I', 'call', 'upon', 'more', 'start-ups', 'to', 'focus', 'on', 'Ayush', 'related', 'themes.', 'To', 'those', 'who', 'are', 'already', 'in', 'this', 'field,', 'I', 'assure', 'continuous', 'support.', 'I', 'also', 'request', 'them', 'to', 'put', 'content', 'in', 'all', 'UN', 'recognised', 'languages', 'to', 'ensure', 'maximum', 'reach.', '#MannKiBaat', '@moayush']",BJP,"I call upon more start-ups to focus on Ayush related themes. To those who are already in this field, I assure continuous support. I also request them to put content in all UN recognised languages to ensure maximum reach. #MannKiBaat @moayush",0.7783,False,1
31,31,2022-03-27 10:15:04+00:00,1.51e+18,"At a time when the world is looking at Indian traditions for guidance on fitness and well-being, our Ayush sector has risen to the occasion with a jump in exports and a growth in start-ups in this sector. #MannKiBaat",narendramodi,"['At', 'a', 'time', 'when', 'the', 'world', 'is', 'looking', 'at', 'Indian', 'traditions', 'for', 'guidance', 'on', 'fitness', 'and', 'well-being,', 'our', 'Ayush', 'sector', 'has', 'risen', 'to', 'the', 'occasion', 'with', 'a', 'jump', 'in', 'exports', 'and', 'a', 'growth', 'in', 'start-ups', 'in', 'this', 'sector.', '#MannKiBaat']",BJP,"At a time when the world is looking at Indian traditions for guidance on fitness and well-being, our Ayush sector has risen to the occasion with a jump in exports and a growth in start-ups in this sector. #MannKiBaat",0.5719,False,1
32,32,2022-03-27 10:14:36+00:00,1.51e+18,The entire nation is inspired by Swami Sivananda Ji. His life and exemplary work gives important lessons in health and fitness. #MannKiBaat,narendramodi,"['The', 'entire', 'nation', 'is', 'inspired', 'by', 'Swami', 'Sivananda', 'Ji.', 'His', 'life', 'and', 'exemplary', 'work', 'gives', 'important', 'lessons', 'in', 'health', 'and', 'fitness.', '#MannKiBaat']",BJP,The entire nation is inspired by Swami Sivananda Ji. His life and exemplary work gives important lessons in health and fitness. #MannKiBaat,0.7269,False,1
33,33,2022-03-27 10:13:00+00:00,1.51e+18,The special milestone achieved by @GeM_India of crossing order values of Rs. 1 Lakh Crore in a year illustrates a paradigm shift. Gone are the days when only a select few could do business with the Government. A new culture of openness and enterprise has been set. #MannKiBaat,narendramodi,"['The', 'special', 'milestone', 'achieved', 'by', '@GeM_India', 'of', 'crossing', 'order', 'values', 'of', 'Rs.', '1', 'Lakh', 'Crore', 'in', 'a', 'year', 'illustrates', 'a', 'paradigm', 'shift.', 'Gone', 'are', 'the', 'days', 'when', 'only', 'a', 'select', 'few', 'could', 'do', 'business', 'with', 'the', 'Government.', 'A', 'new', 'culture', 'of', 'openness', 'and', 'enterprise', 'has', 'been', 'set.', '#MannKiBaat']",BJP,The special milestone achieved by @GeM_India of crossing order values of Rs. 1 Lakh Crore in a year illustrates a paradigm shift. Gone are the days when only a select few could do business with the Government. A new culture of openness and enterprise has been set. #MannKiBaat,0.7783,False,1
34,34,2022-03-27 10:12:21+00:00,1.51e+18,India’s ambitions are soaring high and so is the determination to fulfil them…a prime example is our nation achieving the target of $400 Billion of goods exports. @makeinindia is a trusted brand and unique products are reaching new destinations. #MannKiBaat,narendramodi,"['India’s', 'ambitions', 'are', 'soaring', 'high', 'and', 'so', 'is', 'the', 'determination', 'to', 'fulfil', 'them…a', 'prime', 'example', 'is', 'our', 'nation', 'achieving', 'the', 'target', 'of', '$400', 'Billion', 'of', 'goods', 'exports.', '@makeinindia', 'is', 'a', 'trusted', 'brand', 'and', 'unique', 'products', 'are', 'reaching', 'new', 'destinations.', '#MannKiBaat']",BJP,India’s ambitions are soaring high and so is the determination to fulfil them…a prime example is our nation achieving the target of $400 Billion of goods exports. @makeinindia is a trusted brand and unique products are reaching new destinations. #MannKiBaat,0.7823,False,1
35,35,2022-03-27 08:55:12+00:00,1.51e+18,Addressing the Ahimsa Yatra Sampannata Samaroh Karyakram.,narendramodi,"['Addressing', 'the', 'Ahimsa', 'Yatra', 'Sampannata', 'Samaroh', 'Karyakram.']",BJP,Addressing the Ahimsa Yatra Sampannata Samaroh Karyakram.,0.0,False,1
36,36,2022-03-27 05:30:21+00:00,1.51e+18,Tune into this month's #MannKiBaat.,narendramodi,"['Tune', 'into', 'this', ""month's"", '#MannKiBaat.']",BJP,Tune into this month's #MannKiBaat.,0.0,False,1
37,37,2022-03-27 02:05:15+00:00,1.51e+18,Tune in at 11 AM for this month’s #MannKiBaat.,narendramodi,"['Tune', 'in', 'at', '11', 'AM', 'for', 'this', 'month’s', '#MannKiBaat.']",BJP,Tune in at 11 AM for this month’s #MannKiBaat.,0.0,False,1
38,38,2022-03-26 13:39:08+00:00,1.51e+18,"The strength of India lies in the power of every citizen of the country. To further strengthen this power, the government has decided to continue the Pradhan Mantri Garib Kalyan Anna Yojana for another six months till September 2022. More than 80 crore people of the country will be able to take advantage of this as before.",narendramodi,"['The', 'strength', 'of', 'India', 'lies', 'in', 'the', 'power', 'of', 'every', 'citizen', 'of', 'the', 'country.', 'To', 'further', 'strengthen', 'this', 'power,', 'the', 'government', 'has', 'decided', 'to', 'continue', 'the', 'Pradhan', 'Mantri', 'Garib', 'Kalyan', 'Anna', 'Yojana', 'for', 'another', 'six', 'months', 'till', 'September', '2022.', 'More', 'than', '80', 'crore', 'people', 'of', 'the', 'country', 'will', 'be', 'able', 'to', 'take', 'advantage', 'of', 'this', 'as', 'before.']",BJP,"The strength of India lies in the power of every citizen of the country. To further strengthen this power, the government has decided to continue the Pradhan Mantri Garib Kalyan Anna Yojana for another six months till September 2022. More than 80 crore people of the country will be able to take advantage of this as before.",0.5719,False,1
